Director,NodeID
Newt Arnold,8010
Josh Boone,6722
Matty Rich,9
Ben Affleck,2559
Tom Ford,6255
Keith Parmer,9951
Mitch Davis,1605
Asghar Farhadi,9047
David Yates,2306
Andrew Traucki,1903
Christian Alvart,34
Mic Rodgers,7311
Andrew Currie,11600
Pete Jones,2184
Ted Demme,8776
Charles Stone III,9940
Dick Richards,869
Rachel Goldenberg,5233
Sylvio Tabet,7296
Brad Anderson,4199
Joshua Tickell,12484
Tony Giglio,7622
Laurie Collyer,12815
Christopher Cain,2450
Tom Seidman,4899
James Gartner,13370
Kevin Allen,1484
Rob Minkoff,1507
Agust--n D--az Yanes,9237
Alan Shapiro,8285
Robert Towne,10065
Robert Moresco,7165
Laurent Tirard,11647
Michael Apted,982
Clive Barker,4793
Andr--s Muschietti,3462
Jonathan Newman,4058
Kenny Ortega,6345
Luis Llosa,108
Griffin Dunne,2789
Paul Bunnell,9572
John Cameron Mitchell,3005
Steve Trenbirth,10261
Bill Melendez,5610
Siddharth Anand,2737
Lisa Azuelos,774
Luke Greenfield,8597
Gene Quintano,13269
Hilary Brougher,12016
Deon Taylor,5783
Robert Townsend,3138
Agnieszka Wojtowicz-Vosloo,4205
John Turturro,1828
David S. Ward,11927
Peter Lepeniotis,538
Frank Miller,6101
Joseph Dorman,5578
Fabi--n Bielinsky,12062
Eric England,12066
Nadine Labaki,13392
Andrew Adamson,2267
Vincent Ward,8313
Oleg Stepchenko,2393
Eug--ne Louri--,7458
Jean-Luc Godard,4858
Todd Strauss-Schulson,4842
Anthony Russo,7198
Catherine Gund,9203
Robert Mulligan,2543
Nate Parker,7967
James Wong,98
Alec Asten,2368
David Worth,8025
Terry Zwigoff,7480
Frank Capra,5828
Rachel Perkins,11689
David Silverman,3559
Matthew Robbins,3437
John Curran,6719
Edward Burns,3406
Juan Jos-- Campanella,1960
Eric Bress,5718
Russ Meyer,5225
P.J. Hogan,6735
Martha Coolidge,12068
Mark Dindal,8293
Juraj Jakubisko,12111
Chris D'Arienzo,10301
Emily Dell,10561
Frank Darabont,2502
Rohit Jugraj,3885
Brad J. Silverman,2883
Emily Young,12803
Cal Brunker,12647
Barry W. Blaustein,9184
Marc Forby,103
Marianna Palka,10126
Amanda Gusack,8915
Kent Alterman,7678
Patrick Hughes,11333
Miranda July,7701
Takao Okawara,3172
Barry Skolnick,246
Simon Wincer,4771
Salvador Carrasco,764
Richard Wallace,1173
Andrew Jarecki,14
Wolfgang Becker,6914
J Blakeson,12617
Dan Zukovic,4596
Jay Oliva,1915
Peter Yates,5532
Carlos Saldanha,2771
Robert Wise,7919
Mary McGuckian,7366
Phil Morrison,12925
Jason Reitman,349
Alex Cox,2131
David Bowers,831
Benjamin Roberds,6839
George Hickenlooper,3091
Agnieszka Holland,3224
Glen Morgan,6356
Peter Segal,6165
Tony Jaa,6409
Jeff Lowell,5057
Rick Bieber,864
Edward Norton,732
Emilio Estevez,8437
Inna Evlannikova,10953
George Stevens,10989
Vincent Gallo,2615
Tom Tykwer,1221
Frank Coraci,5868
Jonathan Glazer,8000
John Murlowski,9002
Roger Vadim,9509
Edward Dmytryk,10979
Yash Chopra,5368
Tadeo Garcia,298
Tamra Davis,1463
Stanley Tong,9677
Mary Pat Kelly,8503
Ari Kirschenbaum,8819
Sylvain Chomet,13099
Hitoshi Matsumoto,6126
Stephen Norrington,5414
Don Taylor,4454
Anthony Powell,5670
Eric Darnell,1374
Chris Nahon,11542
Jeremy Sims,11105
Nancy Walker,3044
Stacy Peralta,4082
Ti West,2642
Joe Kenemore,4117
Jay Alaimo,9704
Kelly Makin,11609
Wilson Yip,11153
John Boorman,927
E. Elias Merhige,6946
Joe Cross,243
Daniel Hsia,13410
Ringo Lam,5941
Sanjay Rawal,6848
Anthony Hickox,13545
Mark Mylod,4768
D.J. Caruso,2953
Robert Altman,1223
Vicente Amorim,11949
Jonathan Liebesman,1395
James Watkins,7076
Alex Zamm,12376
Conor McPherson,12334
Joel Schumacher,674
Salim Akil,5198
Tim Heidecker,10826
Julie Anne Robinson,3354
Alister Grierson,10470
Peter Sollett,4845
Robert Eggers,6805
Ben Younger,7305
Gareth Evans,7993
Jim Sheridan,3744
Joe Johnston,3530
Lawrence Kasanoff,12480
Rob Reiner,1770
Sofia Coppola,2466
Ryan Murphy,2663
J.C. Chandor,5441
Errol Morris,11044
J.S. Cardone,13243
Joshua Michael Stern,10549
Doug Atchison,2619
Ingmar Bergman,13278
Sam Weisman,9775
Franco Zeffirelli,12801
Ivan Engler,1475
Katherine Dieckmann,3302
Fr--d--ric Forestier,5350
King Vidor,6113
Mark Rosman,7503
Scott Kalvert,2998
Fran--ois Ozon,6203
Richard Linklater,1492
Cory Edwards,4020
Peter Cousens,5529
Gregory Poirier,10856
Jeff Wadlow,4
Julian Jarrold,2515
Todd Graff,2204
Martin McDonagh,11880
Billy Ray,2834
Francis Ford Coppola,1316
Sam Martin,10235
Guillaume Ivernel,1514
Amy Holden Jones,12505
Steve Gomer,6660
Lisa Cholodenko,9875
Tim Miller,7818
Byron Howard,11108
John Moore,1369
Ole Bornedal,4487
F. Gary Gray,2776
Anthony O'Brien,11763
Damien Chazelle,10353
Dan Scanlon,10184
Jacob Aaron Estes,1420
Charles Chaplin,9377
David O. Russell,3306
Stanley Donen,3428
Shimit Amin,11605
David Jacobson,13238
Tony Maylam,8694
Martin Koolhoven,10566
Max F--rberb--ck,6200
Ren-- F--ret,10201
Nicholas Meyer,2311
Julie Davis,10523
Ramaa Mosley,9134
Mick Jackson,9665
Phillip Noyce,1866
Kevin Hamedani,5456
Henry Alex Rubin,1793
Jorma Taccone,11562
John Luessenhop,3196
Daniel Sackheim,10684
Victor Nunez,3627
Mike Flanagan,6997
Aki Kaurism--ki,10985
Justin Paul Miller,978
Oliver Parker,3837
