NodeID,Name,Race,Gender
1852,Michael Patrick Jann,White,Male
10045,David Mirkin,,
1854,Mark Romanek,,
1857,Kevin Macdonald,White,Male
1861,Bob Saget,White,Male
10056,Nigel Cole,,
1866,Phillip Noyce,White,Male
1870,Mark Steven Johnson,,
9869,Edgar Wright,White,Male
10065,Robert Towne,White,Male
1875,Stephen Carpenter,,
10069,Rick de Oliveira,,
1880,Vicky Jewson,,
1887,Sylvester Stallone,White,Male
10085,Nacho Vigalondo,,
1894,Johnny Remo,,
9873,Greg Tiernan,,
1898,Nelson McCormick,,
10092,Dan Reed,,
1903,Andrew Traucki,,
10098,Peter MacDonald,,
1907,Michael Bay,White,Male
1910,Shane Acker,,
10104,Paul Donovan,,
1915,Jay Oliva,,
10110,Tom Putnam,,
1920,Noah Baumbach,White,Male
10113,James Mather,,
1923,Don Coscarelli,White,Male
9878,Dexter Fletcher,White,Male
1926,Raja Gosnell,White,Male
1931,Robert Stevenson,White,Male
10124,Michael Crichton,White,Male
1934,Jake Kasdan,White,Male
10430,Shekar,,
1936,Patrick Stettner,,
10131,Petter N--ss,,
1941,Steve Martino,,
1944,Tony Gilroy,White,Male
10137,Isaac Florentine,,
1949,Gavin O'Connor,White,Male
8517,Sherman Alexie,American Aborigine,Male
1952,Andrew Davis,White,Male
10145,Ronny Yu,,
10149,Lance Kawas,,
1960,Juan Jos-- Campanella,,
10155,Robert M. Young,White,Male
1965,John Stainton,,
1969,Kevin Smith,White,Male
1973,John Madden,White,Male
10167,Paul Weitz,White,Male
1977,Richard J. Lewis,,
10173,David Winters,,
1985,John Blanchard,,
10182,Jonas --kerlund,,
10184,Dan Scanlon,,
10186,Brian Dannelly,,
1996,Joan Chen,Asian,Female
10189,Christian Ditter,,
1999,Ric Roman Waugh,,
2003,Todd Solondz,White,Male
10196,Kevin Brodie,,
10201,Ren-- F--ret,,
2010,Roger Allers,,
2014,Sam Miller,,
10207,John Laing,,
2019,Jason Miller,White,Male
2024,Wade Gasque,,
10217,Jafar Panahi,Middle Eastern,Male
11261,John H. Lee,,
2032,Daniel Schechter,,
2036,Tobe Hooper,White,Male
2038,Steven Zaillian,White,Male
10235,Sam Martin,,
10242,James Gunn,,
2054,Todd Lincoln,White,Female
2057,Sydney Pollack,White,Male
2060,Jonathan Demme,White,Male
10254,Michael Pressman,,
10256,Eric Schaeffer,White,Male
2065,Anne Fontaine,,
10261,Steve Trenbirth,,
2070,Craig Moss,,
10265,Panos Cosmatos,,
2075,Antony Hoffman,,
2080,Martin Campbell,White,Male
10275,Billy Bob Thornton,White,Male
2087,Willard Huyck,,
2089,Mel Smith,White,Male
10285,Fritz Lang,White,Male
10289,Mark Christopher,,
2098,Anand Tucker,,
10294,Fenton Bailey,,
2103,Jim Chuchu,,
2108,Ron Shelton,White,Male
10301,Chris D'Arienzo,,
10304,Raymond De Felitta,,
2113,Craig Gillespie,,
10308,Charles Ferguson,White,Male
2117,Daniel Petrie Jr.,White,Male
10310,Beeban Kidron,,
10313,David Lowery,White,Male
9911,Martyn Pick,,
8546,David Nixon,,
2126,Tony Bill,,Male
2131,Alex Cox,White,Male
2133,Paul McGuigan,,
2137,Callie Khouri,,
10331,Christophe Ali,,
2141,William Kaufman,,
2145,Shari Springer Berman,,
10339,Barbet Schroeder,White,Male
2149,Steve Miner,White,Male
9346,Sally Potter,,
2155,Christine Jeffs,,
10351,John Ottman,,
2160,John McTiernan,White,Male
10353,Damien Chazelle,,
2163,Miguel Arteta,Hispanic,Male
10359,Richard Eyre,,
10363,Jack Sholder,White,Male
2172,George Roy Hill,White,Male
2177,David DeCoteau,White,Male
10373,Tom Green,White,Male
2182,Laurent Cantet,,
2184,Pete Jones,,
2186,Jonathan Mostow,White,Male
10379,Ash Brannon,,
2189,Ron Howard,White,Male
2192,Phil Lord,,
10385,Maria Maggenti,,
10388,John Schultz,,
2200,Hideaki Anno,,
10394,Gerald Potterton,,
2204,Todd Graff,,
10403,David G. Evans,,
2213,Neema Barnette,,
2217,Nathan Frankowski,,
2223,Dennis Dugan,White,Male
10418,Hideo Nakata,,
2231,Paul Crowder,,
2234,Rob Cohen,White,Male
2238,Stewart Hendler,,
2242,Patrick Read Johnson,White,Male
2246,Neil Marshall,,
2251,Matthew Watts,,
10445,Alexander Witt,,
2255,Dennie Gordon,,
2257,Nora Ephron,White,Female
2262,William Eubank,,
10455,Lloyd Bacon,White,Male
2267,Andrew Adamson,,
2270,Pitof,,
10464,Andrea Di Stefano,,
