"Source","Target","Weight","Type"
"Jason Flemyng","Clash of the Titans","1","Undirected"
"Jason Flemyng","Snatch","1","Undirected"
"Jason Flemyng","From Hell","1","Undirected"
"Jason Flemyng","Mean Machine","1","Undirected"
"Jason Flemyng","The Missing","1","Undirected"
"Jason Flemyng","Viy","1","Undirected"
"Dexter Fletcher","Topsy-Turvy","1","Undirected"
"Dexter Fletcher","Doom","1","Undirected"
"Dexter Fletcher","Eddie the Eagle","1","Undirected"
"Dexter Fletcher","The Elephant Man","1","Undirected"
"Dexter Fletcher","Pandaemonium","1","Undirected"
"Guy Ritchie","Swept Away","1","Undirected"
"Guy Ritchie","Sherlock Holmes","1","Undirected"
"Guy Ritchie","RocknRolla","1","Undirected"
"Guy Ritchie","The Man from U.N.C.L.E.","1","Undirected"
"Guy Ritchie","Sherlock Holmes: A Game of Shadows","1","Undirected"
"Guy Ritchie","Snatch","1","Undirected"
"Queen of the Damned","Aaliyah","1","Undirected"
"Queen of the Damned","Lena Olin","1","Undirected"
"Queen of the Damned","Bruce Spence","1","Undirected"
"Queen of the Damned","Michael Rymer","1","Undirected"
"Aaliyah","Romeo Must Die","1","Undirected"
"Lena Olin","Romeo Is Bleeding","1","Undirected"
"Lena Olin","Hollywood Homicide","1","Undirected"
"Lena Olin","Chocolat","1","Undirected"
"Lena Olin","The Ninth Gate","1","Undirected"
"Lena Olin","Remember Me","1","Undirected"
"Lena Olin","Darkness","1","Undirected"
"Bruce Spence","Dark City","1","Undirected"
"Bruce Spence","The Chronicles of Narnia: The Voyage of the Dawn Treader","1","Undirected"
"Bruce Spence","Ace Ventura: When Nature Calls","1","Undirected"
"Bruce Spence","Mad Max 2: The Road Warrior","1","Undirected"
"Bruce Spence","Mad Max Beyond Thunderdome","1","Undirected"
"Michael Rymer","In Too Deep","1","Undirected"
"My Dog Tulip","Isabella Rossellini","1","Undirected"
"My Dog Tulip","Peter Gerety","1","Undirected"
"My Dog Tulip","Lynn Redgrave","1","Undirected"
"My Dog Tulip","Paul Fierlinger","1","Undirected"
"Isabella Rossellini","Two Lovers","1","Undirected"
"Isabella Rossellini","Wyatt Earp","1","Undirected"
